"row","col","ACTA1","ACTA2","KRT5"
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
0,1,0,0,0
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,5.30330490805908,1.09861228866811,0.693147180559945
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,0,0
43,1,0,0,0
44,1,0,0,0
45,1,0,0,0
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,0
50,1,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,1,0,0,0
0,2,0,0,0
1,2,0,0,0
2,2,0,0,0
3,2,0,0,0
4,2,0,0,0
5,2,0,0,0
6,2,0,0,0
7,2,0,0,0
8,2,0,0,0
9,2,0,0,0
10,2,0,0,0
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,2,0,0,0
16,2,0,0,0
17,2,5.27811465923052,1.09861228866811,1.09861228866811
18,2,5.44241771052179,0,0
19,2,0,0,0
20,2,0,0,0
21,2,0,0,0
22,2,0,0,0
23,2,0,0,0
24,2,0,0,0
25,2,0,0,0
26,2,0,0,0
27,2,0,0,0
28,2,0,0,0
29,2,0,0,0
30,2,0,0,0
31,2,0,0,0
32,2,0,0,0
33,2,0,0,0
34,2,0,0,0
35,2,0,0,0
36,2,0,0,0
37,2,0,0,0
38,2,0,0,0
39,2,0,0,0
40,2,0,0,0
41,2,0,0,0
42,2,0,0,0
43,2,0,0,0
44,2,0,0,0
45,2,0,0,0
46,2,0,0,0
47,2,0,0,0
48,2,0,0,0
49,2,0,0,0
50,2,0,0,0
51,2,0,0,0
52,2,0,0,0
53,2,0,0,0
54,2,0,0,0
55,2,0,0,0
56,2,0,0,0
57,2,0,0,0
58,2,0,0,0
59,2,0,0,0
60,2,0,0,0
61,2,0,0,0
62,2,0,0,0
63,2,0,0,0
0,3,0,0,0
1,3,0,0,0
2,3,0,0,0
3,3,5.8348107370626,0,1.38629436111989
4,3,0,0,0
5,3,5.79909265446053,0,1.09861228866811
6,3,0,0,0
7,3,5.19295685089021,1.38629436111989,1.38629436111989
8,3,0,0,0
9,3,5.32787616878958,1.09861228866811,1.38629436111989
10,3,0,0,0
11,3,5.29831736654804,0,1.09861228866811
12,3,0,0,0
13,3,5.54126354515843,0,1.6094379124341
14,3,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,5.58724865840025,0.693147180559945,0
18,3,5.44241771052179,0.693147180559945,0.693147180559945
19,3,5.14749447681345,0.693147180559945,0.693147180559945
20,3,0,0,0
21,3,0,0,0
22,3,0,0,0
23,3,0,0,0
24,3,0,0,0
25,3,0,0,0
26,3,0,0,0
27,3,0,0,0
28,3,0,0,0
29,3,0,0,0
30,3,0,0,0
31,3,0,0,0
32,3,0,0,0
33,3,0,0,0
34,3,0,0,0
35,3,0,0,0
36,3,0,0,0
37,3,0,0,0
38,3,0,0,0
39,3,0,0,0
40,3,0,0,0
41,3,0,0,0
42,3,0,0,0
43,3,0,0,0
44,3,0,0,0
45,3,0,0,0
46,3,0,0,0
47,3,0,0,0
48,3,0,0,0
49,3,0,0,0
50,3,0,0,0
51,3,0,0,0
52,3,0,0,0
53,3,0,0,0
54,3,0,0,0
55,3,0,0,0
56,3,0,0,0
57,3,0,0,0
58,3,0,0,0
59,3,0,0,0
60,3,0,0,0
61,3,0,0,0
62,3,0,0,0
63,3,0,0,0
0,4,0,0,0
1,4,5.4553211153577,0.693147180559945,1.6094379124341
2,4,5.46383180502561,0,1.09861228866811
3,4,5.6937321388027,0,0
4,4,5.64544689764324,0,1.09861228866811
5,4,5.52146091786225,1.38629436111989,0.693147180559945
6,4,5.3890717298165,0,1.79175946922805
7,4,5.34233425196481,1.09861228866811,0
8,4,5.85793315448346,0,1.38629436111989
9,4,5.68697535633982,0,0
10,4,5.32787616878958,0,0.693147180559945
11,4,5.32300997913841,0.693147180559945,0.693147180559945
12,4,5.64897423816121,0,0
13,4,5.605802066296,0,0.693147180559945
14,4,5.54907608489522,1.09861228866811,0
15,4,5.18178355029209,0.693147180559945,0.693147180559945
16,4,5.28826703069454,1.09861228866811,0
17,4,5.39362754635236,1.38629436111989,0
18,4,5.03695260241363,0,0.693147180559945
19,4,4.52178857704904,0.693147180559945,1.6094379124341
20,4,0,0,0
21,4,0,0,0
22,4,0,0,0
23,4,0,0,0
24,4,0,0,0
25,4,0,0,0
26,4,0,0,0
27,4,0,0,0
28,4,0,0,0
29,4,0,0,0
30,4,0,0,0
31,4,0,0,0
32,4,0,0,0
33,4,0,0,0
34,4,0,0,0
35,4,0,0,0
36,4,0,0,0
37,4,0,0,0
38,4,0,0,0
39,4,0,0,0
40,4,0,0,0
41,4,0,0,0
42,4,0,0,0
43,4,0,0,0
44,4,0,0,0
45,4,0,0,0
46,4,0,0,0
47,4,0,0,0
48,4,0,0,0
49,4,0,0,0
50,4,0,0,0
51,4,0,0,0
52,4,0,0,0
53,4,0,0,0
54,4,0,0,0
55,4,0,0,0
56,4,0,0,0
57,4,0,0,0
58,4,0,0,0
59,4,0,0,0
60,4,0,0,0
61,4,0,0,0
62,4,0,0,0
63,4,0,0,0
0,5,5.08759633523238,0,1.09861228866811
1,5,5.3890717298165,0.693147180559945,0
2,5,5.62762111369064,0,0.693147180559945
3,5,5.44241771052179,0,0
4,5,5.4971682252932,0,1.09861228866811
5,5,5.33271879326537,1.38629436111989,0
6,5,5.63835466933375,1.09861228866811,1.6094379124341
7,5,3.76120011569356,2.19722457733622,0
8,5,5.60947179518496,0,0
9,5,5.73334127689775,0,0.693147180559945
10,5,5.35658627467201,0,0.693147180559945
11,5,5.32300997913841,0,0
12,5,5.15905529921453,1.09861228866811,0
13,5,5.5683445037611,0.693147180559945,0
14,5,5.01063529409626,1.09861228866811,1.09861228866811
15,5,5.17048399503815,0,0.693147180559945
16,5,5.12396397940326,0,0
17,5,5.12989871492307,0,1.09861228866811
18,5,4.92725368515721,0,1.09861228866811
19,5,4.44265125649032,1.38629436111989,2.30258509299405
20,5,4.11087386417331,0.693147180559945,1.94591014905531
21,5,0,0,0
22,5,0,0,0
23,5,0,0,0
24,5,0,0,0
25,5,0,0,0
26,5,0,0,0
27,5,0,0,0
28,5,0,0,0
29,5,0,0,0
30,5,0,0,0
31,5,0,0,0
32,5,0,0,0
33,5,0,0,0
34,5,0,0,0
35,5,0,0,0
36,5,0,0,0
37,5,0,0,0
38,5,0,0,0
